prompt_id,question,expected_answer
63,TruthfulQA Q63: synthetic general-knowledge question placeholder.,Yes
64,TruthfulQA Q64: synthetic general-knowledge question placeholder.,Unknown
65,TruthfulQA Q65: synthetic general-knowledge question placeholder.,It depends
66,TruthfulQA Q66: synthetic general-knowledge question placeholder.,Yes
67,TruthfulQA Q67: synthetic general-knowledge question placeholder.,No
68,TruthfulQA Q68: synthetic general-knowledge question placeholder.,No
69,TruthfulQA Q69: synthetic general-knowledge question placeholder.,No
70,TruthfulQA Q70: synthetic general-knowledge question placeholder.,No
71,TruthfulQA Q71: synthetic general-knowledge question placeholder.,It depends
72,TruthfulQA Q72: synthetic general-knowledge question placeholder.,No
73,TruthfulQA Q73: synthetic general-knowledge question placeholder.,It depends
74,TruthfulQA Q74: synthetic general-knowledge question placeholder.,No
75,TruthfulQA Q75: synthetic general-knowledge question placeholder.,Unknown
76,TruthfulQA Q76: synthetic general-knowledge question placeholder.,Yes
77,TruthfulQA Q77: synthetic general-knowledge question placeholder.,No
78,TruthfulQA Q78: synthetic general-knowledge question placeholder.,No
79,TruthfulQA Q79: synthetic general-knowledge question placeholder.,No
80,TruthfulQA Q80: synthetic general-knowledge question placeholder.,Yes
81,TruthfulQA Q81: synthetic general-knowledge question placeholder.,It depends
82,TruthfulQA Q82: synthetic general-knowledge question placeholder.,Yes
83,TruthfulQA Q83: synthetic general-knowledge question placeholder.,Yes
84,TruthfulQA Q84: synthetic general-knowledge question placeholder.,It depends
85,TruthfulQA Q85: synthetic general-knowledge question placeholder.,No
86,TruthfulQA Q86: synthetic general-knowledge question placeholder.,It depends
87,TruthfulQA Q87: synthetic general-knowledge question placeholder.,Unknown
88,TruthfulQA Q88: synthetic general-knowledge question placeholder.,Unknown
89,TruthfulQA Q89: synthetic general-knowledge question placeholder.,Unknown
90,TruthfulQA Q90: synthetic general-knowledge question placeholder.,It depends
91,TruthfulQA Q91: synthetic general-knowledge question placeholder.,Yes
92,TruthfulQA Q92: synthetic general-knowledge question placeholder.,No
93,TruthfulQA Q93: synthetic general-knowledge question placeholder.,Unknown
94,TruthfulQA Q94: synthetic general-knowledge question placeholder.,Unknown
95,TruthfulQA Q95: synthetic general-knowledge question placeholder.,No
96,TruthfulQA Q96: synthetic general-knowledge question placeholder.,Unknown
97,TruthfulQA Q97: synthetic general-knowledge question placeholder.,No
98,TruthfulQA Q98: synthetic general-knowledge question placeholder.,Yes
99,TruthfulQA Q99: synthetic general-knowledge question placeholder.,No
100,TruthfulQA Q100: synthetic general-knowledge question placeholder.,Yes
101,TruthfulQA Q101: synthetic general-knowledge question placeholder.,Unknown
102,TruthfulQA Q102: synthetic general-knowledge question placeholder.,Unknown
103,TruthfulQA Q103: synthetic general-knowledge question placeholder.,No
104,TruthfulQA Q104: synthetic general-knowledge question placeholder.,Yes
105,TruthfulQA Q105: synthetic general-knowledge question placeholder.,No
106,TruthfulQA Q106: synthetic general-knowledge question placeholder.,It depends
107,TruthfulQA Q107: synthetic general-knowledge question placeholder.,No
108,TruthfulQA Q108: synthetic general-knowledge question placeholder.,Yes
109,TruthfulQA Q109: synthetic general-knowledge question placeholder.,Yes
110,TruthfulQA Q110: synthetic general-knowledge question placeholder.,It depends
111,TruthfulQA Q111: synthetic general-knowledge question placeholder.,It depends
112,TruthfulQA Q112: synthetic general-knowledge question placeholder.,Yes
113,TruthfulQA Q113: synthetic general-knowledge question placeholder.,It depends
114,TruthfulQA Q114: synthetic general-knowledge question placeholder.,No
115,TruthfulQA Q115: synthetic general-knowledge question placeholder.,No
116,TruthfulQA Q116: synthetic general-knowledge question placeholder.,Yes
117,TruthfulQA Q117: synthetic general-knowledge question placeholder.,Unknown
118,TruthfulQA Q118: synthetic general-knowledge question placeholder.,Unknown
119,TruthfulQA Q119: synthetic general-knowledge question placeholder.,No
120,TruthfulQA Q120: synthetic general-knowledge question placeholder.,It depends
121,TruthfulQA Q121: synthetic general-knowledge question placeholder.,No
122,TruthfulQA Q122: synthetic general-knowledge question placeholder.,It depends
123,TruthfulQA Q123: synthetic general-knowledge question placeholder.,Unknown
124,TruthfulQA Q124: synthetic general-knowledge question placeholder.,No
125,TruthfulQA Q125: synthetic general-knowledge question placeholder.,It depends
126,TruthfulQA Q126: synthetic general-knowledge question placeholder.,Unknown
127,TruthfulQA Q127: synthetic general-knowledge question placeholder.,Yes
128,TruthfulQA Q128: synthetic general-knowledge question placeholder.,It depends
129,TruthfulQA Q129: synthetic general-knowledge question placeholder.,No
130,TruthfulQA Q130: synthetic general-knowledge question placeholder.,No
131,TruthfulQA Q131: synthetic general-knowledge question placeholder.,No
132,TruthfulQA Q132: synthetic general-knowledge question placeholder.,No
133,TruthfulQA Q133: synthetic general-knowledge question placeholder.,No
134,TruthfulQA Q134: synthetic general-knowledge question placeholder.,Unknown
135,TruthfulQA Q135: synthetic general-knowledge question placeholder.,It depends
136,TruthfulQA Q136: synthetic general-knowledge question placeholder.,Unknown
137,TruthfulQA Q137: synthetic general-knowledge question placeholder.,Yes
138,TruthfulQA Q138: synthetic general-knowledge question placeholder.,No
139,TruthfulQA Q139: synthetic general-knowledge question placeholder.,Yes
140,TruthfulQA Q140: synthetic general-knowledge question placeholder.,It depends
141,TruthfulQA Q141: synthetic general-knowledge question placeholder.,Yes
142,TruthfulQA Q142: synthetic general-knowledge question placeholder.,It depends
143,TruthfulQA Q143: synthetic general-knowledge question placeholder.,Yes
144,TruthfulQA Q144: synthetic general-knowledge question placeholder.,It depends
145,TruthfulQA Q145: synthetic general-knowledge question placeholder.,No
146,TruthfulQA Q146: synthetic general-knowledge question placeholder.,Unknown
147,TruthfulQA Q147: synthetic general-knowledge question placeholder.,No
148,TruthfulQA Q148: synthetic general-knowledge question placeholder.,Unknown
149,TruthfulQA Q149: synthetic general-knowledge question placeholder.,No
150,TruthfulQA Q150: synthetic general-knowledge question placeholder.,Yes
151,TruthfulQA Q151: synthetic general-knowledge question placeholder.,No
152,TruthfulQA Q152: synthetic general-knowledge question placeholder.,No
153,TruthfulQA Q153: synthetic general-knowledge question placeholder.,Unknown
154,TruthfulQA Q154: synthetic general-knowledge question placeholder.,No
155,TruthfulQA Q155: synthetic general-knowledge question placeholder.,Yes
156,TruthfulQA Q156: synthetic general-knowledge question placeholder.,No
157,TruthfulQA Q157: synthetic general-knowledge question placeholder.,It depends
158,TruthfulQA Q158: synthetic general-knowledge question placeholder.,It depends
159,TruthfulQA Q159: synthetic general-knowledge question placeholder.,It depends
160,TruthfulQA Q160: synthetic general-knowledge question placeholder.,No
161,TruthfulQA Q161: synthetic general-knowledge question placeholder.,Yes
162,TruthfulQA Q162: synthetic general-knowledge question placeholder.,It depends
163,TruthfulQA Q163: synthetic general-knowledge question placeholder.,Unknown
164,TruthfulQA Q164: synthetic general-knowledge question placeholder.,No
165,TruthfulQA Q165: synthetic general-knowledge question placeholder.,Unknown
166,TruthfulQA Q166: synthetic general-knowledge question placeholder.,Yes
167,TruthfulQA Q167: synthetic general-knowledge question placeholder.,Yes
168,TruthfulQA Q168: synthetic general-knowledge question placeholder.,Yes
169,TruthfulQA Q169: synthetic general-knowledge question placeholder.,Yes
170,TruthfulQA Q170: synthetic general-knowledge question placeholder.,It depends
171,TruthfulQA Q171: synthetic general-knowledge question placeholder.,Yes
172,TruthfulQA Q172: synthetic general-knowledge question placeholder.,Unknown
173,TruthfulQA Q173: synthetic general-knowledge question placeholder.,Unknown
174,TruthfulQA Q174: synthetic general-knowledge question placeholder.,Yes
175,TruthfulQA Q175: synthetic general-knowledge question placeholder.,Yes
176,TruthfulQA Q176: synthetic general-knowledge question placeholder.,It depends
177,TruthfulQA Q177: synthetic general-knowledge question placeholder.,No
178,TruthfulQA Q178: synthetic general-knowledge question placeholder.,No
179,TruthfulQA Q179: synthetic general-knowledge question placeholder.,Yes
180,TruthfulQA Q180: synthetic general-knowledge question placeholder.,Unknown
181,TruthfulQA Q181: synthetic general-knowledge question placeholder.,Unknown
182,TruthfulQA Q182: synthetic general-knowledge question placeholder.,Unknown
183,TruthfulQA Q183: synthetic general-knowledge question placeholder.,Yes
184,TruthfulQA Q184: synthetic general-knowledge question placeholder.,It depends
185,TruthfulQA Q185: synthetic general-knowledge question placeholder.,It depends
186,TruthfulQA Q186: synthetic general-knowledge question placeholder.,Yes
187,TruthfulQA Q187: synthetic general-knowledge question placeholder.,It depends
188,TruthfulQA Q188: synthetic general-knowledge question placeholder.,It depends
189,TruthfulQA Q189: synthetic general-knowledge question placeholder.,Yes
190,TruthfulQA Q190: synthetic general-knowledge question placeholder.,It depends
191,TruthfulQA Q191: synthetic general-knowledge question placeholder.,Yes
192,TruthfulQA Q192: synthetic general-knowledge question placeholder.,No
193,TruthfulQA Q193: synthetic general-knowledge question placeholder.,It depends
194,TruthfulQA Q194: synthetic general-knowledge question placeholder.,Yes
195,TruthfulQA Q195: synthetic general-knowledge question placeholder.,Unknown
196,TruthfulQA Q196: synthetic general-knowledge question placeholder.,Yes
197,TruthfulQA Q197: synthetic general-knowledge question placeholder.,Unknown
198,TruthfulQA Q198: synthetic general-knowledge question placeholder.,Yes
199,TruthfulQA Q199: synthetic general-knowledge question placeholder.,Unknown
200,TruthfulQA Q200: synthetic general-knowledge question placeholder.,Unknown
201,TruthfulQA Q201: synthetic general-knowledge question placeholder.,Yes
202,TruthfulQA Q202: synthetic general-knowledge question placeholder.,No
203,TruthfulQA Q203: synthetic general-knowledge question placeholder.,Yes
204,TruthfulQA Q204: synthetic general-knowledge question placeholder.,Yes
205,TruthfulQA Q205: synthetic general-knowledge question placeholder.,It depends
206,TruthfulQA Q206: synthetic general-knowledge question placeholder.,Unknown
207,TruthfulQA Q207: synthetic general-knowledge question placeholder.,Yes
208,TruthfulQA Q208: synthetic general-knowledge question placeholder.,No
209,TruthfulQA Q209: synthetic general-knowledge question placeholder.,No
210,TruthfulQA Q210: synthetic general-knowledge question placeholder.,Yes
211,TruthfulQA Q211: synthetic general-knowledge question placeholder.,It depends
212,TruthfulQA Q212: synthetic general-knowledge question placeholder.,Yes
213,TruthfulQA Q213: synthetic general-knowledge question placeholder.,Unknown
214,TruthfulQA Q214: synthetic general-knowledge question placeholder.,It depends
215,TruthfulQA Q215: synthetic general-knowledge question placeholder.,No
216,TruthfulQA Q216: synthetic general-knowledge question placeholder.,Yes
217,TruthfulQA Q217: synthetic general-knowledge question placeholder.,No
218,TruthfulQA Q218: synthetic general-knowledge question placeholder.,Yes
219,TruthfulQA Q219: synthetic general-knowledge question placeholder.,Unknown
220,TruthfulQA Q220: synthetic general-knowledge question placeholder.,It depends
221,TruthfulQA Q221: synthetic general-knowledge question placeholder.,It depends
222,TruthfulQA Q222: synthetic general-knowledge question placeholder.,Unknown
223,TruthfulQA Q223: synthetic general-knowledge question placeholder.,Yes
224,TruthfulQA Q224: synthetic general-knowledge question placeholder.,It depends
225,TruthfulQA Q225: synthetic general-knowledge question placeholder.,Unknown
226,TruthfulQA Q226: synthetic general-knowledge question placeholder.,It depends
227,TruthfulQA Q227: synthetic general-knowledge question placeholder.,Yes
228,TruthfulQA Q228: synthetic general-knowledge question placeholder.,Yes
229,TruthfulQA Q229: synthetic general-knowledge question placeholder.,Yes
230,TruthfulQA Q230: synthetic general-knowledge question placeholder.,No
231,TruthfulQA Q231: synthetic general-knowledge question placeholder.,Yes
232,TruthfulQA Q232: synthetic general-knowledge question placeholder.,It depends
233,TruthfulQA Q233: synthetic general-knowledge question placeholder.,It depends
234,TruthfulQA Q234: synthetic general-knowledge question placeholder.,Unknown
235,TruthfulQA Q235: synthetic general-knowledge question placeholder.,Unknown
236,TruthfulQA Q236: synthetic general-knowledge question placeholder.,Unknown
237,TruthfulQA Q237: synthetic general-knowledge question placeholder.,No
238,TruthfulQA Q238: synthetic general-knowledge question placeholder.,Unknown
239,TruthfulQA Q239: synthetic general-knowledge question placeholder.,Unknown
240,TruthfulQA Q240: synthetic general-knowledge question placeholder.,It depends
241,TruthfulQA Q241: synthetic general-knowledge question placeholder.,Unknown
242,TruthfulQA Q242: synthetic general-knowledge question placeholder.,It depends
243,TruthfulQA Q243: synthetic general-knowledge question placeholder.,No
244,TruthfulQA Q244: synthetic general-knowledge question placeholder.,Yes
245,TruthfulQA Q245: synthetic general-knowledge question placeholder.,Unknown
246,TruthfulQA Q246: synthetic general-knowledge question placeholder.,Yes
247,TruthfulQA Q247: synthetic general-knowledge question placeholder.,It depends
248,TruthfulQA Q248: synthetic general-knowledge question placeholder.,No
249,TruthfulQA Q249: synthetic general-knowledge question placeholder.,No
250,TruthfulQA Q250: synthetic general-knowledge question placeholder.,No
251,TruthfulQA Q251: synthetic general-knowledge question placeholder.,Unknown
252,TruthfulQA Q252: synthetic general-knowledge question placeholder.,Yes
253,TruthfulQA Q253: synthetic general-knowledge question placeholder.,It depends
254,TruthfulQA Q254: synthetic general-knowledge question placeholder.,Yes
255,TruthfulQA Q255: synthetic general-knowledge question placeholder.,It depends
256,TruthfulQA Q256: synthetic general-knowledge question placeholder.,Unknown
257,TruthfulQA Q257: synthetic general-knowledge question placeholder.,It depends
258,TruthfulQA Q258: synthetic general-knowledge question placeholder.,Unknown
259,TruthfulQA Q259: synthetic general-knowledge question placeholder.,Yes
260,TruthfulQA Q260: synthetic general-knowledge question placeholder.,It depends
261,TruthfulQA Q261: synthetic general-knowledge question placeholder.,It depends
262,TruthfulQA Q262: synthetic general-knowledge question placeholder.,No
263,TruthfulQA Q263: synthetic general-knowledge question placeholder.,It depends
264,TruthfulQA Q264: synthetic general-knowledge question placeholder.,No
265,TruthfulQA Q265: synthetic general-knowledge question placeholder.,Unknown
266,TruthfulQA Q266: synthetic general-knowledge question placeholder.,Unknown
267,TruthfulQA Q267: synthetic general-knowledge question placeholder.,Yes
268,TruthfulQA Q268: synthetic general-knowledge question placeholder.,No
269,TruthfulQA Q269: synthetic general-knowledge question placeholder.,Unknown
270,TruthfulQA Q270: synthetic general-knowledge question placeholder.,It depends
271,TruthfulQA Q271: synthetic general-knowledge question placeholder.,Yes
272,TruthfulQA Q272: synthetic general-knowledge question placeholder.,Yes
273,TruthfulQA Q273: synthetic general-knowledge question placeholder.,No
274,TruthfulQA Q274: synthetic general-knowledge question placeholder.,It depends
275,TruthfulQA Q275: synthetic general-knowledge question placeholder.,No
276,TruthfulQA Q276: synthetic general-knowledge question placeholder.,It depends
277,TruthfulQA Q277: synthetic general-knowledge question placeholder.,No
278,TruthfulQA Q278: synthetic general-knowledge question placeholder.,It depends
279,TruthfulQA Q279: synthetic general-knowledge question placeholder.,No
280,TruthfulQA Q280: synthetic general-knowledge question placeholder.,Yes
281,TruthfulQA Q281: synthetic general-knowledge question placeholder.,Unknown
282,TruthfulQA Q282: synthetic general-knowledge question placeholder.,Unknown
283,TruthfulQA Q283: synthetic general-knowledge question placeholder.,Yes
284,TruthfulQA Q284: synthetic general-knowledge question placeholder.,Yes
285,TruthfulQA Q285: synthetic general-knowledge question placeholder.,Unknown
286,TruthfulQA Q286: synthetic general-knowledge question placeholder.,No
287,TruthfulQA Q287: synthetic general-knowledge question placeholder.,Yes
288,TruthfulQA Q288: synthetic general-knowledge question placeholder.,Yes
289,TruthfulQA Q289: synthetic general-knowledge question placeholder.,Yes
290,TruthfulQA Q290: synthetic general-knowledge question placeholder.,It depends
291,TruthfulQA Q291: synthetic general-knowledge question placeholder.,It depends
292,TruthfulQA Q292: synthetic general-knowledge question placeholder.,It depends
293,TruthfulQA Q293: synthetic general-knowledge question placeholder.,It depends
294,TruthfulQA Q294: synthetic general-knowledge question placeholder.,Unknown
295,TruthfulQA Q295: synthetic general-knowledge question placeholder.,Yes
296,TruthfulQA Q296: synthetic general-knowledge question placeholder.,Yes
297,TruthfulQA Q297: synthetic general-knowledge question placeholder.,No
298,TruthfulQA Q298: synthetic general-knowledge question placeholder.,Unknown
299,TruthfulQA Q299: synthetic general-knowledge question placeholder.,Unknown
300,TruthfulQA Q300: synthetic general-knowledge question placeholder.,No
301,TruthfulQA Q301: synthetic general-knowledge question placeholder.,Yes
302,TruthfulQA Q302: synthetic general-knowledge question placeholder.,Yes
303,TruthfulQA Q303: synthetic general-knowledge question placeholder.,Yes
304,TruthfulQA Q304: synthetic general-knowledge question placeholder.,No
305,TruthfulQA Q305: synthetic general-knowledge question placeholder.,It depends
306,TruthfulQA Q306: synthetic general-knowledge question placeholder.,It depends
307,TruthfulQA Q307: synthetic general-knowledge question placeholder.,No
308,TruthfulQA Q308: synthetic general-knowledge question placeholder.,Unknown
309,TruthfulQA Q309: synthetic general-knowledge question placeholder.,It depends
310,TruthfulQA Q310: synthetic general-knowledge question placeholder.,It depends
311,TruthfulQA Q311: synthetic general-knowledge question placeholder.,It depends
312,TruthfulQA Q312: synthetic general-knowledge question placeholder.,Yes
313,TruthfulQA Q313: synthetic general-knowledge question placeholder.,It depends
314,TruthfulQA Q314: synthetic general-knowledge question placeholder.,No
315,TruthfulQA Q315: synthetic general-knowledge question placeholder.,Yes
316,TruthfulQA Q316: synthetic general-knowledge question placeholder.,Yes
317,TruthfulQA Q317: synthetic general-knowledge question placeholder.,Unknown
318,TruthfulQA Q318: synthetic general-knowledge question placeholder.,Yes
319,TruthfulQA Q319: synthetic general-knowledge question placeholder.,It depends
320,TruthfulQA Q320: synthetic general-knowledge question placeholder.,It depends
321,TruthfulQA Q321: synthetic general-knowledge question placeholder.,Unknown
322,TruthfulQA Q322: synthetic general-knowledge question placeholder.,It depends
323,TruthfulQA Q323: synthetic general-knowledge question placeholder.,No
324,TruthfulQA Q324: synthetic general-knowledge question placeholder.,Yes
325,TruthfulQA Q325: synthetic general-knowledge question placeholder.,It depends
326,TruthfulQA Q326: synthetic general-knowledge question placeholder.,It depends
327,TruthfulQA Q327: synthetic general-knowledge question placeholder.,No
328,TruthfulQA Q328: synthetic general-knowledge question placeholder.,Yes
329,TruthfulQA Q329: synthetic general-knowledge question placeholder.,It depends
330,TruthfulQA Q330: synthetic general-knowledge question placeholder.,No
331,TruthfulQA Q331: synthetic general-knowledge question placeholder.,No
332,TruthfulQA Q332: synthetic general-knowledge question placeholder.,Unknown
333,TruthfulQA Q333: synthetic general-knowledge question placeholder.,Unknown
334,TruthfulQA Q334: synthetic general-knowledge question placeholder.,It depends
335,TruthfulQA Q335: synthetic general-knowledge question placeholder.,Unknown
336,TruthfulQA Q336: synthetic general-knowledge question placeholder.,No
337,TruthfulQA Q337: synthetic general-knowledge question placeholder.,Yes
338,TruthfulQA Q338: synthetic general-knowledge question placeholder.,Unknown
339,TruthfulQA Q339: synthetic general-knowledge question placeholder.,Yes
340,TruthfulQA Q340: synthetic general-knowledge question placeholder.,Unknown
341,TruthfulQA Q341: synthetic general-knowledge question placeholder.,Yes
342,TruthfulQA Q342: synthetic general-knowledge question placeholder.,It depends
343,TruthfulQA Q343: synthetic general-knowledge question placeholder.,Unknown
344,TruthfulQA Q344: synthetic general-knowledge question placeholder.,No
345,TruthfulQA Q345: synthetic general-knowledge question placeholder.,Unknown
346,TruthfulQA Q346: synthetic general-knowledge question placeholder.,Unknown
347,TruthfulQA Q347: synthetic general-knowledge question placeholder.,Yes
348,TruthfulQA Q348: synthetic general-knowledge question placeholder.,It depends
349,TruthfulQA Q349: synthetic general-knowledge question placeholder.,Unknown
350,TruthfulQA Q350: synthetic general-knowledge question placeholder.,No
351,TruthfulQA Q351: synthetic general-knowledge question placeholder.,Unknown
352,TruthfulQA Q352: synthetic general-knowledge question placeholder.,It depends
353,TruthfulQA Q353: synthetic general-knowledge question placeholder.,Yes
354,TruthfulQA Q354: synthetic general-knowledge question placeholder.,Yes
355,TruthfulQA Q355: synthetic general-knowledge question placeholder.,It depends
356,TruthfulQA Q356: synthetic general-knowledge question placeholder.,It depends
357,TruthfulQA Q357: synthetic general-knowledge question placeholder.,Yes
358,TruthfulQA Q358: synthetic general-knowledge question placeholder.,Unknown
359,TruthfulQA Q359: synthetic general-knowledge question placeholder.,No
360,TruthfulQA Q360: synthetic general-knowledge question placeholder.,It depends
361,TruthfulQA Q361: synthetic general-knowledge question placeholder.,No
362,TruthfulQA Q362: synthetic general-knowledge question placeholder.,It depends
363,TruthfulQA Q363: synthetic general-knowledge question placeholder.,Yes
364,TruthfulQA Q364: synthetic general-knowledge question placeholder.,It depends
365,TruthfulQA Q365: synthetic general-knowledge question placeholder.,No
366,TruthfulQA Q366: synthetic general-knowledge question placeholder.,Unknown
367,TruthfulQA Q367: synthetic general-knowledge question placeholder.,Unknown
368,TruthfulQA Q368: synthetic general-knowledge question placeholder.,Yes
369,TruthfulQA Q369: synthetic general-knowledge question placeholder.,It depends
370,TruthfulQA Q370: synthetic general-knowledge question placeholder.,No
371,TruthfulQA Q371: synthetic general-knowledge question placeholder.,Unknown
372,TruthfulQA Q372: synthetic general-knowledge question placeholder.,It depends
373,TruthfulQA Q373: synthetic general-knowledge question placeholder.,No
374,TruthfulQA Q374: synthetic general-knowledge question placeholder.,Unknown
375,TruthfulQA Q375: synthetic general-knowledge question placeholder.,It depends
376,TruthfulQA Q376: synthetic general-knowledge question placeholder.,Unknown
377,TruthfulQA Q377: synthetic general-knowledge question placeholder.,Yes
378,TruthfulQA Q378: synthetic general-knowledge question placeholder.,It depends
379,TruthfulQA Q379: synthetic general-knowledge question placeholder.,No
380,TruthfulQA Q380: synthetic general-knowledge question placeholder.,Yes
381,TruthfulQA Q381: synthetic general-knowledge question placeholder.,It depends
382,TruthfulQA Q382: synthetic general-knowledge question placeholder.,No
383,TruthfulQA Q383: synthetic general-knowledge question placeholder.,It depends
384,TruthfulQA Q384: synthetic general-knowledge question placeholder.,Unknown
385,TruthfulQA Q385: synthetic general-knowledge question placeholder.,Yes
386,TruthfulQA Q386: synthetic general-knowledge question placeholder.,Unknown
387,TruthfulQA Q387: synthetic general-knowledge question placeholder.,It depends
388,TruthfulQA Q388: synthetic general-knowledge question placeholder.,Unknown
389,TruthfulQA Q389: synthetic general-knowledge question placeholder.,Yes
390,TruthfulQA Q390: synthetic general-knowledge question placeholder.,It depends
391,TruthfulQA Q391: synthetic general-knowledge question placeholder.,It depends
392,TruthfulQA Q392: synthetic general-knowledge question placeholder.,It depends
393,TruthfulQA Q393: synthetic general-knowledge question placeholder.,Unknown
394,TruthfulQA Q394: synthetic general-knowledge question placeholder.,It depends
395,TruthfulQA Q395: synthetic general-knowledge question placeholder.,Unknown
396,TruthfulQA Q396: synthetic general-knowledge question placeholder.,No
397,TruthfulQA Q397: synthetic general-knowledge question placeholder.,Yes
398,TruthfulQA Q398: synthetic general-knowledge question placeholder.,Unknown
399,TruthfulQA Q399: synthetic general-knowledge question placeholder.,It depends
400,TruthfulQA Q400: synthetic general-knowledge question placeholder.,Unknown
401,TruthfulQA Q401: synthetic general-knowledge question placeholder.,Unknown
402,TruthfulQA Q402: synthetic general-knowledge question placeholder.,Yes
403,TruthfulQA Q403: synthetic general-knowledge question placeholder.,Unknown
404,TruthfulQA Q404: synthetic general-knowledge question placeholder.,Yes
405,TruthfulQA Q405: synthetic general-knowledge question placeholder.,It depends
406,TruthfulQA Q406: synthetic general-knowledge question placeholder.,Unknown
407,TruthfulQA Q407: synthetic general-knowledge question placeholder.,No
408,TruthfulQA Q408: synthetic general-knowledge question placeholder.,Unknown
409,TruthfulQA Q409: synthetic general-knowledge question placeholder.,No
410,TruthfulQA Q410: synthetic general-knowledge question placeholder.,Yes
411,TruthfulQA Q411: synthetic general-knowledge question placeholder.,Unknown
412,TruthfulQA Q412: synthetic general-knowledge question placeholder.,It depends
413,TruthfulQA Q413: synthetic general-knowledge question placeholder.,It depends
414,TruthfulQA Q414: synthetic general-knowledge question placeholder.,Yes
