prompt_id,question,expected_answer
82,GSM8K Q82: synthetic arithmetic word problem placeholder.,70
83,GSM8K Q83: synthetic arithmetic word problem placeholder.,85
84,GSM8K Q84: synthetic arithmetic word problem placeholder.,31
85,GSM8K Q85: synthetic arithmetic word problem placeholder.,61
86,GSM8K Q86: synthetic arithmetic word problem placeholder.,10
87,GSM8K Q87: synthetic arithmetic word problem placeholder.,17
88,GSM8K Q88: synthetic arithmetic word problem placeholder.,60
89,GSM8K Q89: synthetic arithmetic word problem placeholder.,66
90,GSM8K Q90: synthetic arithmetic word problem placeholder.,74
91,GSM8K Q91: synthetic arithmetic word problem placeholder.,94
92,GSM8K Q92: synthetic arithmetic word problem placeholder.,30
93,GSM8K Q93: synthetic arithmetic word problem placeholder.,71
94,GSM8K Q94: synthetic arithmetic word problem placeholder.,5
95,GSM8K Q95: synthetic arithmetic word problem placeholder.,41
96,GSM8K Q96: synthetic arithmetic word problem placeholder.,94
97,GSM8K Q97: synthetic arithmetic word problem placeholder.,21
98,GSM8K Q98: synthetic arithmetic word problem placeholder.,86
99,GSM8K Q99: synthetic arithmetic word problem placeholder.,43
100,GSM8K Q100: synthetic arithmetic word problem placeholder.,19
101,GSM8K Q101: synthetic arithmetic word problem placeholder.,94
102,GSM8K Q102: synthetic arithmetic word problem placeholder.,2
103,GSM8K Q103: synthetic arithmetic word problem placeholder.,99
104,GSM8K Q104: synthetic arithmetic word problem placeholder.,35
105,GSM8K Q105: synthetic arithmetic word problem placeholder.,82
106,GSM8K Q106: synthetic arithmetic word problem placeholder.,64
107,GSM8K Q107: synthetic arithmetic word problem placeholder.,76
108,GSM8K Q108: synthetic arithmetic word problem placeholder.,96
109,GSM8K Q109: synthetic arithmetic word problem placeholder.,9
110,GSM8K Q110: synthetic arithmetic word problem placeholder.,100
111,GSM8K Q111: synthetic arithmetic word problem placeholder.,87
112,GSM8K Q112: synthetic arithmetic word problem placeholder.,12
113,GSM8K Q113: synthetic arithmetic word problem placeholder.,50
114,GSM8K Q114: synthetic arithmetic word problem placeholder.,36
115,GSM8K Q115: synthetic arithmetic word problem placeholder.,67
116,GSM8K Q116: synthetic arithmetic word problem placeholder.,84
117,GSM8K Q117: synthetic arithmetic word problem placeholder.,45
118,GSM8K Q118: synthetic arithmetic word problem placeholder.,13
119,GSM8K Q119: synthetic arithmetic word problem placeholder.,72
120,GSM8K Q120: synthetic arithmetic word problem placeholder.,99
121,GSM8K Q121: synthetic arithmetic word problem placeholder.,23
122,GSM8K Q122: synthetic arithmetic word problem placeholder.,54
123,GSM8K Q123: synthetic arithmetic word problem placeholder.,13
124,GSM8K Q124: synthetic arithmetic word problem placeholder.,65
125,GSM8K Q125: synthetic arithmetic word problem placeholder.,2
126,GSM8K Q126: synthetic arithmetic word problem placeholder.,68
127,GSM8K Q127: synthetic arithmetic word problem placeholder.,83
128,GSM8K Q128: synthetic arithmetic word problem placeholder.,60
129,GSM8K Q129: synthetic arithmetic word problem placeholder.,76
130,GSM8K Q130: synthetic arithmetic word problem placeholder.,47
131,GSM8K Q131: synthetic arithmetic word problem placeholder.,25
132,GSM8K Q132: synthetic arithmetic word problem placeholder.,70
133,GSM8K Q133: synthetic arithmetic word problem placeholder.,45
134,GSM8K Q134: synthetic arithmetic word problem placeholder.,1
135,GSM8K Q135: synthetic arithmetic word problem placeholder.,64
136,GSM8K Q136: synthetic arithmetic word problem placeholder.,94
137,GSM8K Q137: synthetic arithmetic word problem placeholder.,49
138,GSM8K Q138: synthetic arithmetic word problem placeholder.,84
139,GSM8K Q139: synthetic arithmetic word problem placeholder.,26
140,GSM8K Q140: synthetic arithmetic word problem placeholder.,32
141,GSM8K Q141: synthetic arithmetic word problem placeholder.,79
142,GSM8K Q142: synthetic arithmetic word problem placeholder.,80
143,GSM8K Q143: synthetic arithmetic word problem placeholder.,11
144,GSM8K Q144: synthetic arithmetic word problem placeholder.,66
145,GSM8K Q145: synthetic arithmetic word problem placeholder.,45
146,GSM8K Q146: synthetic arithmetic word problem placeholder.,93
147,GSM8K Q147: synthetic arithmetic word problem placeholder.,79
148,GSM8K Q148: synthetic arithmetic word problem placeholder.,66
149,GSM8K Q149: synthetic arithmetic word problem placeholder.,58
150,GSM8K Q150: synthetic arithmetic word problem placeholder.,54
151,GSM8K Q151: synthetic arithmetic word problem placeholder.,51
152,GSM8K Q152: synthetic arithmetic word problem placeholder.,7
153,GSM8K Q153: synthetic arithmetic word problem placeholder.,84
154,GSM8K Q154: synthetic arithmetic word problem placeholder.,87
155,GSM8K Q155: synthetic arithmetic word problem placeholder.,52
156,GSM8K Q156: synthetic arithmetic word problem placeholder.,26
157,GSM8K Q157: synthetic arithmetic word problem placeholder.,98
158,GSM8K Q158: synthetic arithmetic word problem placeholder.,79
159,GSM8K Q159: synthetic arithmetic word problem placeholder.,39
160,GSM8K Q160: synthetic arithmetic word problem placeholder.,82
161,GSM8K Q161: synthetic arithmetic word problem placeholder.,77
162,GSM8K Q162: synthetic arithmetic word problem placeholder.,53
163,GSM8K Q163: synthetic arithmetic word problem placeholder.,44
164,GSM8K Q164: synthetic arithmetic word problem placeholder.,83
165,GSM8K Q165: synthetic arithmetic word problem placeholder.,25
166,GSM8K Q166: synthetic arithmetic word problem placeholder.,39
167,GSM8K Q167: synthetic arithmetic word problem placeholder.,51
168,GSM8K Q168: synthetic arithmetic word problem placeholder.,33
169,GSM8K Q169: synthetic arithmetic word problem placeholder.,75
170,GSM8K Q170: synthetic arithmetic word problem placeholder.,17
171,GSM8K Q171: synthetic arithmetic word problem placeholder.,29
172,GSM8K Q172: synthetic arithmetic word problem placeholder.,57
173,GSM8K Q173: synthetic arithmetic word problem placeholder.,74
174,GSM8K Q174: synthetic arithmetic word problem placeholder.,37
175,GSM8K Q175: synthetic arithmetic word problem placeholder.,82
176,GSM8K Q176: synthetic arithmetic word problem placeholder.,66
177,GSM8K Q177: synthetic arithmetic word problem placeholder.,9
178,GSM8K Q178: synthetic arithmetic word problem placeholder.,78
179,GSM8K Q179: synthetic arithmetic word problem placeholder.,23
180,GSM8K Q180: synthetic arithmetic word problem placeholder.,25
181,GSM8K Q181: synthetic arithmetic word problem placeholder.,7
182,GSM8K Q182: synthetic arithmetic word problem placeholder.,3
183,GSM8K Q183: synthetic arithmetic word problem placeholder.,61
184,GSM8K Q184: synthetic arithmetic word problem placeholder.,5
185,GSM8K Q185: synthetic arithmetic word problem placeholder.,68
186,GSM8K Q186: synthetic arithmetic word problem placeholder.,35
187,GSM8K Q187: synthetic arithmetic word problem placeholder.,87
188,GSM8K Q188: synthetic arithmetic word problem placeholder.,82
189,GSM8K Q189: synthetic arithmetic word problem placeholder.,51
190,GSM8K Q190: synthetic arithmetic word problem placeholder.,38
191,GSM8K Q191: synthetic arithmetic word problem placeholder.,98
192,GSM8K Q192: synthetic arithmetic word problem placeholder.,28
193,GSM8K Q193: synthetic arithmetic word problem placeholder.,25
194,GSM8K Q194: synthetic arithmetic word problem placeholder.,28
195,GSM8K Q195: synthetic arithmetic word problem placeholder.,36
196,GSM8K Q196: synthetic arithmetic word problem placeholder.,81
197,GSM8K Q197: synthetic arithmetic word problem placeholder.,70
198,GSM8K Q198: synthetic arithmetic word problem placeholder.,76
199,GSM8K Q199: synthetic arithmetic word problem placeholder.,31
200,GSM8K Q200: synthetic arithmetic word problem placeholder.,1
201,GSM8K Q201: synthetic arithmetic word problem placeholder.,10
202,GSM8K Q202: synthetic arithmetic word problem placeholder.,28
203,GSM8K Q203: synthetic arithmetic word problem placeholder.,94
204,GSM8K Q204: synthetic arithmetic word problem placeholder.,55
205,GSM8K Q205: synthetic arithmetic word problem placeholder.,83
206,GSM8K Q206: synthetic arithmetic word problem placeholder.,2
207,GSM8K Q207: synthetic arithmetic word problem placeholder.,62
208,GSM8K Q208: synthetic arithmetic word problem placeholder.,31
209,GSM8K Q209: synthetic arithmetic word problem placeholder.,4
210,GSM8K Q210: synthetic arithmetic word problem placeholder.,90
211,GSM8K Q211: synthetic arithmetic word problem placeholder.,43
212,GSM8K Q212: synthetic arithmetic word problem placeholder.,40
213,GSM8K Q213: synthetic arithmetic word problem placeholder.,44
214,GSM8K Q214: synthetic arithmetic word problem placeholder.,58
215,GSM8K Q215: synthetic arithmetic word problem placeholder.,38
216,GSM8K Q216: synthetic arithmetic word problem placeholder.,42
217,GSM8K Q217: synthetic arithmetic word problem placeholder.,69
218,GSM8K Q218: synthetic arithmetic word problem placeholder.,13
219,GSM8K Q219: synthetic arithmetic word problem placeholder.,17
220,GSM8K Q220: synthetic arithmetic word problem placeholder.,40
221,GSM8K Q221: synthetic arithmetic word problem placeholder.,12
222,GSM8K Q222: synthetic arithmetic word problem placeholder.,87
223,GSM8K Q223: synthetic arithmetic word problem placeholder.,45
224,GSM8K Q224: synthetic arithmetic word problem placeholder.,22
225,GSM8K Q225: synthetic arithmetic word problem placeholder.,51
226,GSM8K Q226: synthetic arithmetic word problem placeholder.,17
227,GSM8K Q227: synthetic arithmetic word problem placeholder.,63
228,GSM8K Q228: synthetic arithmetic word problem placeholder.,58
229,GSM8K Q229: synthetic arithmetic word problem placeholder.,28
230,GSM8K Q230: synthetic arithmetic word problem placeholder.,2
231,GSM8K Q231: synthetic arithmetic word problem placeholder.,55
232,GSM8K Q232: synthetic arithmetic word problem placeholder.,75
233,GSM8K Q233: synthetic arithmetic word problem placeholder.,41
234,GSM8K Q234: synthetic arithmetic word problem placeholder.,62
235,GSM8K Q235: synthetic arithmetic word problem placeholder.,1
236,GSM8K Q236: synthetic arithmetic word problem placeholder.,58
237,GSM8K Q237: synthetic arithmetic word problem placeholder.,31
238,GSM8K Q238: synthetic arithmetic word problem placeholder.,66
239,GSM8K Q239: synthetic arithmetic word problem placeholder.,62
240,GSM8K Q240: synthetic arithmetic word problem placeholder.,58
241,GSM8K Q241: synthetic arithmetic word problem placeholder.,64
242,GSM8K Q242: synthetic arithmetic word problem placeholder.,11
243,GSM8K Q243: synthetic arithmetic word problem placeholder.,56
244,GSM8K Q244: synthetic arithmetic word problem placeholder.,40
245,GSM8K Q245: synthetic arithmetic word problem placeholder.,87
246,GSM8K Q246: synthetic arithmetic word problem placeholder.,39
247,GSM8K Q247: synthetic arithmetic word problem placeholder.,7
248,GSM8K Q248: synthetic arithmetic word problem placeholder.,37
249,GSM8K Q249: synthetic arithmetic word problem placeholder.,62
250,GSM8K Q250: synthetic arithmetic word problem placeholder.,13
251,GSM8K Q251: synthetic arithmetic word problem placeholder.,83
252,GSM8K Q252: synthetic arithmetic word problem placeholder.,33
253,GSM8K Q253: synthetic arithmetic word problem placeholder.,54
254,GSM8K Q254: synthetic arithmetic word problem placeholder.,49
255,GSM8K Q255: synthetic arithmetic word problem placeholder.,70
256,GSM8K Q256: synthetic arithmetic word problem placeholder.,72
257,GSM8K Q257: synthetic arithmetic word problem placeholder.,79
258,GSM8K Q258: synthetic arithmetic word problem placeholder.,30
259,GSM8K Q259: synthetic arithmetic word problem placeholder.,17
260,GSM8K Q260: synthetic arithmetic word problem placeholder.,100
261,GSM8K Q261: synthetic arithmetic word problem placeholder.,54
262,GSM8K Q262: synthetic arithmetic word problem placeholder.,83
263,GSM8K Q263: synthetic arithmetic word problem placeholder.,35
264,GSM8K Q264: synthetic arithmetic word problem placeholder.,25
265,GSM8K Q265: synthetic arithmetic word problem placeholder.,36
266,GSM8K Q266: synthetic arithmetic word problem placeholder.,2
267,GSM8K Q267: synthetic arithmetic word problem placeholder.,32
268,GSM8K Q268: synthetic arithmetic word problem placeholder.,29
269,GSM8K Q269: synthetic arithmetic word problem placeholder.,7
270,GSM8K Q270: synthetic arithmetic word problem placeholder.,44
271,GSM8K Q271: synthetic arithmetic word problem placeholder.,5
272,GSM8K Q272: synthetic arithmetic word problem placeholder.,80
273,GSM8K Q273: synthetic arithmetic word problem placeholder.,93
274,GSM8K Q274: synthetic arithmetic word problem placeholder.,20
275,GSM8K Q275: synthetic arithmetic word problem placeholder.,16
276,GSM8K Q276: synthetic arithmetic word problem placeholder.,43
277,GSM8K Q277: synthetic arithmetic word problem placeholder.,79
278,GSM8K Q278: synthetic arithmetic word problem placeholder.,45
279,GSM8K Q279: synthetic arithmetic word problem placeholder.,8
280,GSM8K Q280: synthetic arithmetic word problem placeholder.,75
281,GSM8K Q281: synthetic arithmetic word problem placeholder.,10
282,GSM8K Q282: synthetic arithmetic word problem placeholder.,40
283,GSM8K Q283: synthetic arithmetic word problem placeholder.,80
284,GSM8K Q284: synthetic arithmetic word problem placeholder.,97
285,GSM8K Q285: synthetic arithmetic word problem placeholder.,44
286,GSM8K Q286: synthetic arithmetic word problem placeholder.,39
287,GSM8K Q287: synthetic arithmetic word problem placeholder.,44
288,GSM8K Q288: synthetic arithmetic word problem placeholder.,35
289,GSM8K Q289: synthetic arithmetic word problem placeholder.,18
290,GSM8K Q290: synthetic arithmetic word problem placeholder.,43
291,GSM8K Q291: synthetic arithmetic word problem placeholder.,12
292,GSM8K Q292: synthetic arithmetic word problem placeholder.,64
293,GSM8K Q293: synthetic arithmetic word problem placeholder.,50
294,GSM8K Q294: synthetic arithmetic word problem placeholder.,53
295,GSM8K Q295: synthetic arithmetic word problem placeholder.,48
296,GSM8K Q296: synthetic arithmetic word problem placeholder.,67
297,GSM8K Q297: synthetic arithmetic word problem placeholder.,87
298,GSM8K Q298: synthetic arithmetic word problem placeholder.,68
299,GSM8K Q299: synthetic arithmetic word problem placeholder.,1
300,GSM8K Q300: synthetic arithmetic word problem placeholder.,13
301,GSM8K Q301: synthetic arithmetic word problem placeholder.,89
302,GSM8K Q302: synthetic arithmetic word problem placeholder.,39
303,GSM8K Q303: synthetic arithmetic word problem placeholder.,95
304,GSM8K Q304: synthetic arithmetic word problem placeholder.,71
305,GSM8K Q305: synthetic arithmetic word problem placeholder.,88
306,GSM8K Q306: synthetic arithmetic word problem placeholder.,74
307,GSM8K Q307: synthetic arithmetic word problem placeholder.,92
308,GSM8K Q308: synthetic arithmetic word problem placeholder.,36
309,GSM8K Q309: synthetic arithmetic word problem placeholder.,34
310,GSM8K Q310: synthetic arithmetic word problem placeholder.,60
311,GSM8K Q311: synthetic arithmetic word problem placeholder.,14
312,GSM8K Q312: synthetic arithmetic word problem placeholder.,59
313,GSM8K Q313: synthetic arithmetic word problem placeholder.,77
314,GSM8K Q314: synthetic arithmetic word problem placeholder.,14
315,GSM8K Q315: synthetic arithmetic word problem placeholder.,24
316,GSM8K Q316: synthetic arithmetic word problem placeholder.,82
317,GSM8K Q317: synthetic arithmetic word problem placeholder.,78
318,GSM8K Q318: synthetic arithmetic word problem placeholder.,45
319,GSM8K Q319: synthetic arithmetic word problem placeholder.,90
320,GSM8K Q320: synthetic arithmetic word problem placeholder.,90
321,GSM8K Q321: synthetic arithmetic word problem placeholder.,4
322,GSM8K Q322: synthetic arithmetic word problem placeholder.,90
323,GSM8K Q323: synthetic arithmetic word problem placeholder.,96
324,GSM8K Q324: synthetic arithmetic word problem placeholder.,39
325,GSM8K Q325: synthetic arithmetic word problem placeholder.,100
326,GSM8K Q326: synthetic arithmetic word problem placeholder.,29
327,GSM8K Q327: synthetic arithmetic word problem placeholder.,62
328,GSM8K Q328: synthetic arithmetic word problem placeholder.,44
329,GSM8K Q329: synthetic arithmetic word problem placeholder.,30
330,GSM8K Q330: synthetic arithmetic word problem placeholder.,66
331,GSM8K Q331: synthetic arithmetic word problem placeholder.,70
332,GSM8K Q332: synthetic arithmetic word problem placeholder.,17
333,GSM8K Q333: synthetic arithmetic word problem placeholder.,78
334,GSM8K Q334: synthetic arithmetic word problem placeholder.,70
335,GSM8K Q335: synthetic arithmetic word problem placeholder.,91
336,GSM8K Q336: synthetic arithmetic word problem placeholder.,82
337,GSM8K Q337: synthetic arithmetic word problem placeholder.,70
338,GSM8K Q338: synthetic arithmetic word problem placeholder.,75
339,GSM8K Q339: synthetic arithmetic word problem placeholder.,65
340,GSM8K Q340: synthetic arithmetic word problem placeholder.,98
341,GSM8K Q341: synthetic arithmetic word problem placeholder.,93
342,GSM8K Q342: synthetic arithmetic word problem placeholder.,8
343,GSM8K Q343: synthetic arithmetic word problem placeholder.,72
344,GSM8K Q344: synthetic arithmetic word problem placeholder.,63
345,GSM8K Q345: synthetic arithmetic word problem placeholder.,67
346,GSM8K Q346: synthetic arithmetic word problem placeholder.,24
347,GSM8K Q347: synthetic arithmetic word problem placeholder.,12
348,GSM8K Q348: synthetic arithmetic word problem placeholder.,16
349,GSM8K Q349: synthetic arithmetic word problem placeholder.,66
350,GSM8K Q350: synthetic arithmetic word problem placeholder.,53
351,GSM8K Q351: synthetic arithmetic word problem placeholder.,18
352,GSM8K Q352: synthetic arithmetic word problem placeholder.,8
353,GSM8K Q353: synthetic arithmetic word problem placeholder.,55
354,GSM8K Q354: synthetic arithmetic word problem placeholder.,2
355,GSM8K Q355: synthetic arithmetic word problem placeholder.,36
356,GSM8K Q356: synthetic arithmetic word problem placeholder.,13
357,GSM8K Q357: synthetic arithmetic word problem placeholder.,48
358,GSM8K Q358: synthetic arithmetic word problem placeholder.,51
359,GSM8K Q359: synthetic arithmetic word problem placeholder.,90
360,GSM8K Q360: synthetic arithmetic word problem placeholder.,25
361,GSM8K Q361: synthetic arithmetic word problem placeholder.,32
362,GSM8K Q362: synthetic arithmetic word problem placeholder.,65
363,GSM8K Q363: synthetic arithmetic word problem placeholder.,63
364,GSM8K Q364: synthetic arithmetic word problem placeholder.,25
365,GSM8K Q365: synthetic arithmetic word problem placeholder.,89
366,GSM8K Q366: synthetic arithmetic word problem placeholder.,66
367,GSM8K Q367: synthetic arithmetic word problem placeholder.,75
368,GSM8K Q368: synthetic arithmetic word problem placeholder.,20
369,GSM8K Q369: synthetic arithmetic word problem placeholder.,44
370,GSM8K Q370: synthetic arithmetic word problem placeholder.,99
371,GSM8K Q371: synthetic arithmetic word problem placeholder.,62
372,GSM8K Q372: synthetic arithmetic word problem placeholder.,93
373,GSM8K Q373: synthetic arithmetic word problem placeholder.,36
374,GSM8K Q374: synthetic arithmetic word problem placeholder.,28
375,GSM8K Q375: synthetic arithmetic word problem placeholder.,36
376,GSM8K Q376: synthetic arithmetic word problem placeholder.,19
377,GSM8K Q377: synthetic arithmetic word problem placeholder.,62
378,GSM8K Q378: synthetic arithmetic word problem placeholder.,8
379,GSM8K Q379: synthetic arithmetic word problem placeholder.,84
380,GSM8K Q380: synthetic arithmetic word problem placeholder.,99
381,GSM8K Q381: synthetic arithmetic word problem placeholder.,91
382,GSM8K Q382: synthetic arithmetic word problem placeholder.,67
383,GSM8K Q383: synthetic arithmetic word problem placeholder.,14
384,GSM8K Q384: synthetic arithmetic word problem placeholder.,100
385,GSM8K Q385: synthetic arithmetic word problem placeholder.,89
386,GSM8K Q386: synthetic arithmetic word problem placeholder.,78
387,GSM8K Q387: synthetic arithmetic word problem placeholder.,46
388,GSM8K Q388: synthetic arithmetic word problem placeholder.,51
389,GSM8K Q389: synthetic arithmetic word problem placeholder.,10
390,GSM8K Q390: synthetic arithmetic word problem placeholder.,35
391,GSM8K Q391: synthetic arithmetic word problem placeholder.,32
392,GSM8K Q392: synthetic arithmetic word problem placeholder.,18
393,GSM8K Q393: synthetic arithmetic word problem placeholder.,75
394,GSM8K Q394: synthetic arithmetic word problem placeholder.,4
395,GSM8K Q395: synthetic arithmetic word problem placeholder.,45
396,GSM8K Q396: synthetic arithmetic word problem placeholder.,14
397,GSM8K Q397: synthetic arithmetic word problem placeholder.,19
398,GSM8K Q398: synthetic arithmetic word problem placeholder.,28
399,GSM8K Q399: synthetic arithmetic word problem placeholder.,37
400,GSM8K Q400: synthetic arithmetic word problem placeholder.,6
401,GSM8K Q401: synthetic arithmetic word problem placeholder.,31
402,GSM8K Q402: synthetic arithmetic word problem placeholder.,65
403,GSM8K Q403: synthetic arithmetic word problem placeholder.,51
404,GSM8K Q404: synthetic arithmetic word problem placeholder.,1
405,GSM8K Q405: synthetic arithmetic word problem placeholder.,24
406,GSM8K Q406: synthetic arithmetic word problem placeholder.,69
407,GSM8K Q407: synthetic arithmetic word problem placeholder.,16
408,GSM8K Q408: synthetic arithmetic word problem placeholder.,64
409,GSM8K Q409: synthetic arithmetic word problem placeholder.,29
410,GSM8K Q410: synthetic arithmetic word problem placeholder.,24
411,GSM8K Q411: synthetic arithmetic word problem placeholder.,58
412,GSM8K Q412: synthetic arithmetic word problem placeholder.,55
413,GSM8K Q413: synthetic arithmetic word problem placeholder.,26
414,GSM8K Q414: synthetic arithmetic word problem placeholder.,67
415,GSM8K Q415: synthetic arithmetic word problem placeholder.,2
416,GSM8K Q416: synthetic arithmetic word problem placeholder.,25
417,GSM8K Q417: synthetic arithmetic word problem placeholder.,96
418,GSM8K Q418: synthetic arithmetic word problem placeholder.,22
419,GSM8K Q419: synthetic arithmetic word problem placeholder.,48
420,GSM8K Q420: synthetic arithmetic word problem placeholder.,60
421,GSM8K Q421: synthetic arithmetic word problem placeholder.,79
422,GSM8K Q422: synthetic arithmetic word problem placeholder.,20
423,GSM8K Q423: synthetic arithmetic word problem placeholder.,49
424,GSM8K Q424: synthetic arithmetic word problem placeholder.,75
425,GSM8K Q425: synthetic arithmetic word problem placeholder.,14
426,GSM8K Q426: synthetic arithmetic word problem placeholder.,69
427,GSM8K Q427: synthetic arithmetic word problem placeholder.,55
428,GSM8K Q428: synthetic arithmetic word problem placeholder.,22
429,GSM8K Q429: synthetic arithmetic word problem placeholder.,93
430,GSM8K Q430: synthetic arithmetic word problem placeholder.,1
431,GSM8K Q431: synthetic arithmetic word problem placeholder.,75
432,GSM8K Q432: synthetic arithmetic word problem placeholder.,52
433,GSM8K Q433: synthetic arithmetic word problem placeholder.,52
434,GSM8K Q434: synthetic arithmetic word problem placeholder.,90
435,GSM8K Q435: synthetic arithmetic word problem placeholder.,85
436,GSM8K Q436: synthetic arithmetic word problem placeholder.,50
437,GSM8K Q437: synthetic arithmetic word problem placeholder.,22
438,GSM8K Q438: synthetic arithmetic word problem placeholder.,18
439,GSM8K Q439: synthetic arithmetic word problem placeholder.,38
440,GSM8K Q440: synthetic arithmetic word problem placeholder.,70
441,GSM8K Q441: synthetic arithmetic word problem placeholder.,17
442,GSM8K Q442: synthetic arithmetic word problem placeholder.,53
443,GSM8K Q443: synthetic arithmetic word problem placeholder.,70
444,GSM8K Q444: synthetic arithmetic word problem placeholder.,81
445,GSM8K Q445: synthetic arithmetic word problem placeholder.,56
446,GSM8K Q446: synthetic arithmetic word problem placeholder.,4
447,GSM8K Q447: synthetic arithmetic word problem placeholder.,30
448,GSM8K Q448: synthetic arithmetic word problem placeholder.,17
449,GSM8K Q449: synthetic arithmetic word problem placeholder.,6
450,GSM8K Q450: synthetic arithmetic word problem placeholder.,23
